Video,Frame,Keyframe_Type,Humerus_Angle,Femur_Angle,R_Toe_Y_Norm,L_Toe_Y_Norm,L_Heel_Y_Norm,L_Ankle_X_Norm,L_Ankle_Y_Norm,HorizAlign_ShoulderWrist,VertAlign_SternumWrist,Trunk_Lean_Angle,Norm_Stride,Stride_Length,UpperArm_Compression
AudryeDumlao.mp4,296,LiftOff,38.91983812783247,115.46561544993031,5.306717729514898,5.155161195501407,4.740318548275979,1.9224235273544654,4.76678552072776,0.6450862852926137,2.0428166913014616,11.20725402107283,1.396132886740505,234.8144485771874,108.73443761997466
AudryeDumlao.mp4,297,LiftOff,37.92182720847553,116.04616367996341,5.343723919067509,5.159400112074593,4.731730011919961,1.963744232854973,4.7828768508194734,0.6790152841244991,1.9067768623425894,13.164298420620172,1.4242290889438334,238.05073638479922,109.93041396892488
AudryeDumlao.mp4,298,LiftOff,37.567028053868675,114.66771341847887,5.384687782356038,5.190502478816872,4.742078124921197,2.009347651162008,4.79728907167445,0.6687001797379852,1.7987244426753664,14.09048351293052,1.4158671648264824,234.93558376904363,107.5310324898489
AudryeDumlao.mp4,337,MaxKneeLift,81.78015324639854,152.35501355405742,4.174154537693463,3.44381848929409,3.652195381489578,4.785828414961215,3.516994707060408,0.2416484938549734,8.630641144297266,6.492577172807778,1.519120474992611,329.549723591131,107.79917047770572
AudryeDumlao.mp4,338,MaxKneeLift,88.79100873630368,155.57644725568198,4.153128739072622,3.414091037826726,3.612900867797786,4.8538160568058055,3.4808990080831297,0.15788279003365777,8.350220339854936,7.616881372887223,1.539081265622204,334.776738462531,109.0052676150515
AudryeDumlao.mp4,339,MaxKneeLift,92.35816316430035,161.3247950114064,4.159324614131728,3.3973919251068962,3.5764155893294474,4.916873758789776,3.4552525824316316,0.09606719569134085,5.305271906910472,10.789210892885682,1.546664725996242,336.8187511910931,117.67320924946918
AudryeDumlao.mp4,340,MaxKneeLift,92.8331902631854,164.0569125846162,4.098663314753898,3.3678672656565163,3.5198297324906034,4.919811835628913,3.3994956356681922,0.012902390925297935,3.931140355031828,13.625795682230592,1.5195719784084507,334.86711952671396,109.5245790900305
AudryeDumlao.mp4,341,MaxKneeLift,100.50508980700837,166.417228213789,4.085797577533039,3.3783062459816953,3.5042724267015943,4.994528441548979,3.381212704366283,0.04371419641051368,2.678966761665458,19.087742717922975,1.5578747104537451,343.62757733655866,106.90938263059607
AudryeDumlao.mp4,344,DragStart,112.6275954129973,168.5353566538821,3.8203533496930944,3.263575619744909,3.306399924091005,4.965336716465403,3.216758301920236,0.14850211907973143,2.269055310202368,19.98043575876649,1.5364191989275413,355.4386984003401,99.8646748146548
AudryeDumlao.mp4,345,DragStart,115.34601463344809,169.7942854625162,3.8620921147462446,3.285034946147302,3.3013050151746275,5.051221703767796,3.2251020733309654,0.2471525077268249,2.098453335364292,20.24046766048012,1.5600891157351753,359.926945148259,95.86728203171059
AudryeDumlao.mp4,346,DragStart,118.5351347036195,169.01830748982437,3.788860738220016,3.253607563443357,3.2359099891363927,5.021372417421755,3.1802073641856854,0.310004542064349,1.7837016689001506,22.15981016420765,1.5395633611102029,360.89731344558646,90.87389885672135
AudryeDumlao.mp4,353,CirclePeak,168.85530892497383,156.5824591074631,4.173129156308153,3.9792807929164282,3.869967938763327,5.8575895802240465,3.7951906471092465,0.9096196949031475,0.017232084137367352,29.039721643017675,1.7666563792445886,373.67117953439697,101.32659713733824
AudryeDumlao.mp4,354,CirclePeak,173.96920472782887,153.7018794638815,4.2064648628027514,4.085337464722044,3.9421317315615467,5.903556565913978,3.868555170077853,0.9185358655262414,0.23780316159865553,29.792468652747864,1.7599599606636884,369.43893446100634,95.12199828799005
AudryeDumlao.mp4,355,CirclePeak,177.88322654108222,155.3518720850684,4.218977577891698,4.147495299278381,4.014012148589308,5.918865917474157,3.92330030792777,0.9450424979613963,0.5018278982047989,29.563749505778436,1.7294802921437666,362.69076480608754,98.22724459044893
AudryeDumlao.mp4,357,FootPlant,175.9831383659568,152.62498379238755,4.28836376700667,4.352672175447914,4.174865274371671,6.070692763085959,4.09760383636108,0.9654344803886347,0.9367037582047161,30.067911368880914,1.7561572734117428,361.8646475239696,103.80720632181826
AudryeDumlao.mp4,358,FootPlant,168.27457292127292,151.9785550246047,4.325056767238511,4.424454223493558,4.241374313880626,6.11634837908791,4.160176041763193,0.9562820286714476,1.1861658646566107,30.880045776653215,1.7337755621819748,354.70359753617316,100.20263225199994
AudryeDumlao.mp4,359,FootPlant,160.21740588703108,149.6229328569335,4.330492678696476,4.458387344412653,4.299756843827207,6.143593221084092,4.211565085936287,0.921943371923101,1.447060168948797,30.394378501865024,1.7382050895936714,355.2062662394529,105.91037863606667
AudryeDumlao.mp4,366,ThreeQuarterArmCircle,105.86196179115016,125.9719604274644,4.519392644381971,4.681997162622982,4.563924561246758,6.472853602167241,4.464421184649415,0.0775994260625245,2.18036563527764,32.20480617993103,1.5403883437499817,300.75882403447173,106.1959411762138
AudryeDumlao.mp4,367,ThreeQuarterArmCircle,98.12346179270565,123.90397096331584,4.709572012272218,4.890245064561727,4.74936660523192,6.783978413516534,4.660787667567357,0.053727206247423435,2.152792804423245,33.88364163413097,1.591341217165182,296.6951284027415,98.88079291361134
AudryeDumlao.mp4,368,ThreeQuarterArmCircle,92.65419078327243,121.00600889794846,4.889842565179807,5.072538261364196,4.946635552947816,7.057131297206185,4.8430071618286625,0.19824801694831748,2.142569604608093,34.75120761988069,1.6361052272028327,293.93387602481727,101.80785829208824
