Video,Frame,Keyframe_Type,Elbow_Angle,Femur_Angle,R_Toe_Y_Norm,L_Toe_Y_Norm,L_Heel_Y_Norm,L_Ankle_X_Norm,L_Ankle_Y_Norm,HorizAlign_ShoulderWrist,VertAlign_SternumWrist,Trunk_Lean_Angle,Norm_Stride,Stride_Length,UpperArm_Compression
MilaAldrin,510,LiftOff,46.43071581014362,102.01097050375401,4.727303710575791,4.773997202741669,4.45556596709013,3.3018323174906357,4.539632203751916,0.644523600600482,2.3912132197739546,25.51957365779904,1.1701012501563914,182.11013417139264,81.4588164084838
MilaAldrin,517,MaxKneeLift,17.38686903228641,140.39821647354586,4.87590019103079,4.566714414100396,4.230393068534195,3.9785258345913395,4.2338991999533615,0.9473550672425919,1.9091284261075558,17.692258339345276,0.8081456334863671,126.71358271549592,82.47841744304696
MilaAldrin,537,DragStart,81.72197560181809,57.69292934763425,4.8087246588067405,4.16691464060453,4.149244895588434,6.221572166249518,4.038498315582423,0.0808479096396475,1.9478926915101973,23.059620496118068,1.5583114501974162,242.65133156530158,74.13254157181142
MilaAldrin,549,CirclePeak,173.8844212734509,55.98087494306204,4.720965772276361,4.471093844559708,4.276883715483708,6.629102470619146,4.236321752213835,0.883674941425258,0.3485414637092433,30.02072197466068,1.7235746065118573,281.87916426979945,84.47126491945306
MilaAldrin,553,FootPlant,146.77516153776847,68.04998830772291,4.919913551286888,4.873602795229737,4.697397516444941,6.988527091091026,4.6158716228408325,0.7746965272879381,1.2101787684699807,32.40695409006879,1.7714010771698396,278.0563629879442,79.56043628721429
MilaAldrin,561,ThreeQuarterArmCircle,72.09473934624923,80.19729039468237,5.399240220234527,5.434473680348347,5.337450368769778,7.77411733774274,5.2308965062549175,0.18197143092608462,2.228930275450062,30.027011777814504,1.7388503063218022,247.87538709572203,79.83317714831723
MilaAldrin,566,Connection,23.546113209085235,91.0977518131569,6.040564664496695,6.086978650708611,5.956680245840325,8.742182596643508,5.838055718415785,1.0707225602975963,1.8245106352760325,23.166856591290006,1.903491166889521,242.43491715165348,87.27279721169212
MilaAldrin,570,Release,8.572007723831966,102.41762174748217,5.798631481748638,5.851343284162075,5.7276588448275945,8.401438496906415,5.602136858625468,1.110591857185255,1.0136702063897678,12.755162773052438,1.786543385373557,236.76382271073567,82.68037521390983
MilaPennino,469,LiftOff,17.99246232138552,115.01730736285135,5.4662084101586075,5.201842639610834,4.922009565788552,3.3214821433797637,4.957422405083972,0.9454676700353091,2.0181163223902168,16.720437947299544,0.8457684972778712,130.63366842737037,85.18107081923733
MilaPennino,876,Release,8.633507144624383,113.16373201643914,5.842121242692869,5.852885638525687,5.849312734727597,7.694773805981151,5.72084904529041,1.1516323620948599,0.10946034943633053,4.947891926346241,1.470103499906353,198.8633321732062,83.26248453221818
MilaPennino,533,CirclePeak,174.78876646373152,52.87446647898128,5.599185754919304,5.307213442296289,5.0462892598038565,6.84463213287995,5.072142481249375,0.9212365171996291,0.4696791735125939,29.28276350467596,1.6373844978618666,235.44221560198346,66.60812508709768
MilaPennino,571,Connection,38.361268012504894,75.95797127448365,7.529924836614956,7.415016805403983,7.341071834524797,9.58342924913984,7.1992423397132015,1.0228306469946282,1.6658535032715995,33.855926122082494,1.9174833751194305,206.86940507005912,75.52128681273282
MilaPennino,562,ThreeQuarterArmCircle,85.65597978566129,68.42112014287218,6.353817224367508,6.355514073628105,6.25996422226132,8.150776805873507,6.158279373492947,0.1935353958586098,2.1635477587937206,37.768860834224824,1.7426587066296269,220.61200573771035,73.83498960949349
MilaPennino,548,FootPlant,132.616176575007,58.78078460704679,6.145703777245157,6.110280467490029,5.945365504753549,7.770193037582066,5.872444841590126,0.7309842078916821,1.7104352903877889,36.89888805885811,1.8620088323999426,243.99781223803353,68.65322491579376
MilaPennino,761,MaxKneeLift,32.96734960195297,177.84358834203604,5.810926637617303,5.755595245541247,5.6848602781233275,7.427575891654061,5.558734151997202,0.5425619499674527,5.394118544095942,8.435986866120999,1.3867092350381391,192.6727045600984,67.46814035184826
Norah Gaffey,471,Release,6.547826148121239,114.3380076120837,6.001314676324598,6.105254113932251,6.036636828847962,9.634102465452495,5.88620412668352,1.0501299902126622,0.4980980487827986,16.803897331971296,1.6328869023227632,231.22746166639018,87.67987508805179
Norah Gaffey,491,Connection,23.151801195302024,95.80899468238263,4.36334545882266,5.075020951624086,4.883064490286476,7.909224080525615,4.808535897115933,0.9439178839594818,1.7950319380892423,19.143836244263795,1.5816427188520488,270.0685569934119,86.58514773709507
Norah Gaffey,520,ThreeQuarterArmCircle,80.279511191595,61.7935460517002,4.869155749470093,5.363194805364076,5.122399545770764,7.287575512533031,5.052232289051414,0.09419595071254361,2.178734950829665,28.24898920604426,1.992717521961857,314.939603429936,86.4598763148339
Norah Gaffey,697,MaxKneeLift,3.1053258756694215,142.94828768375126,4.685322562557074,4.593144488729313,4.235986093878779,3.987864165906664,4.295809828630019,1.0672983639124405,1.7014905834221061,8.998640105451578,1.3621170436268748,246.2887160977452,104.87317641488504
Norah Gaffey,782,LiftOff,0.5779557979889361,152.8335052148822,4.428718500941728,4.384012336624152,4.148013307388111,3.3507018327291047,4.061183640546112,0.8770481457971996,1.5754267958654011,5.720583187690941,1.1789733602771402,226.09580044365356,103.89604213673188
Piper Bresnahan,111,LiftOff,20.441383301676915,117.19344434340219,4.896841272265622,4.859302281479902,4.855574336964444,2.6811500144818443,4.755301568036935,0.690947577317844,0.31821776995058054,7.667928012564982,1.4178847811296207,222.60493478254156,87.94383495649228
