Frame,Left_Shoulder_X,Left_Shoulder_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Knee_X,Right_Knee_Y,Right_Foot_Index_X,Right_Foot_Index_Y,Hip_X,Hip_Y,Ankle_X,Ankle_Y,Wrist_X,Wrist_Y,Elbow_X,Elbow_Y
1,539.95,454.63,514.54,455.2,551.65,702.45,576.41,828.12,504.53,604.02,410.81,775.36,589.51,531.61,514.24,534.68
2,540.82,454.27,512.41,455.21,551.94,702.24,574.91,828.81,501.31,603.92,411.61,774.13,588.79,531.7,516.68,534.67
3,541.42,454.13,511.15,455.2,552.64,702.06,574.78,829.13,499.91,603.86,412.28,774.0,588.79,532.08,518.32,534.7
4,541.45,453.89,510.92,455.09,553.39,702.09,574.96,829.36,500.06,603.91,413.2,774.01,588.8,532.52,519.01,534.66
5,541.46,453.59,510.58,455.02,553.87,702.08,575.3,829.49,500.22,603.94,414.87,774.06,589.19,533.2,519.59,534.65
6,541.91,453.59,509.78,454.96,554.79,702.08,575.95,829.68,499.73,603.89,416.1,774.21,589.72,533.46,520.74,534.66
7,541.89,453.59,509.67,454.86,554.76,702.16,576.03,829.74,499.85,603.9,417.06,774.23,590.18,533.81,521.16,534.46
8,541.76,453.62,509.54,455.16,554.62,702.16,576.05,829.73,499.31,603.8,417.38,774.23,590.73,534.23,522.55,534.48
9,541.76,453.65,508.87,455.18,554.61,702.0,575.93,829.9,497.46,603.73,417.21,773.92,590.99,534.48,522.67,534.43
10,541.39,453.75,507.11,455.3,554.39,701.66,575.71,829.9,494.67,603.2,416.95,773.78,591.41,534.57,522.89,533.99
11,540.71,454.0,505.13,455.52,554.31,701.36,575.04,829.97,493.25,602.99,415.19,773.58,591.49,534.59,522.78,533.89
12,540.14,454.11,503.96,455.75,553.97,701.32,574.54,829.98,492.67,602.79,413.9,773.42,591.29,534.42,522.72,533.69
13,538.17,454.22,502.53,456.02,552.12,701.32,574.08,829.87,491.76,602.55,412.59,773.23,591.29,534.03,522.68,533.39
14,534.52,453.97,501.16,456.1,550.83,701.63,573.34,829.88,491.8,602.57,411.82,772.38,591.22,533.96,522.36,533.21
15,531.8,453.91,499.64,456.46,549.6,701.44,572.25,829.6,490.9,602.51,410.4,771.96,591.15,533.83,522.1,533.01
16,528.64,453.53,498.54,456.55,546.64,701.36,570.74,829.13,490.03,602.5,408.93,771.56,590.58,533.45,521.89,532.41
17,526.78,453.43,496.34,456.54,544.91,700.86,570.09,828.26,488.12,602.29,405.82,771.44,589.28,532.16,521.13,531.77
18,524.89,453.18,494.75,456.54,541.46,700.55,569.28,827.51,485.76,601.68,402.5,771.46,587.44,530.8,520.77,531.03
19,524.21,453.04,493.48,456.56,540.04,700.26,567.82,826.75,484.45,601.67,399.91,771.51,586.4,530.51,520.28,530.68
20,522.29,452.83,492.24,456.56,538.64,700.05,566.59,826.1,482.87,601.48,398.12,771.52,585.92,530.43,519.82,530.33
21,521.48,452.49,490.44,456.55,537.39,699.8,565.97,826.07,481.04,601.14,396.49,771.51,585.71,530.35,518.29,530.24
22,521.25,452.33,488.92,456.44,535.77,699.7,565.01,826.12,478.74,600.95,394.97,771.49,585.5,530.2,516.21,529.93
23,520.84,451.98,486.9,456.1,534.3,699.51,564.24,826.14,476.7,600.55,393.97,771.4,585.44,529.99,514.06,529.43
24,517.43,451.18,486.14,455.54,533.76,698.37,564.07,826.07,476.45,600.5,392.79,771.11,584.93,529.66,511.81,529.1
25,517.43,450.38,484.64,455.14,533.5,697.09,563.21,825.88,474.48,599.48,391.85,770.45,584.46,528.82,511.11,528.57
26,517.5,449.55,483.39,454.7,533.08,695.79,562.6,825.74,472.33,598.02,390.88,770.03,584.41,528.51,510.9,528.35
27,517.12,448.87,482.07,454.45,531.92,695.19,562.2,825.53,471.03,596.98,389.55,769.27,583.62,527.87,509.66,528.12
28,517.15,448.36,481.38,453.78,530.56,694.35,560.58,824.61,470.09,595.64,389.13,768.55,583.31,526.65,508.95,527.45
29,517.48,448.23,479.71,453.01,530.04,693.44,560.1,823.94,468.81,595.15,388.15,767.49,579.24,524.19,507.34,525.9
30,517.44,447.48,479.08,451.45,529.49,691.87,560.06,822.64,468.7,594.82,386.91,767.1,577.04,521.47,506.23,524.99
31,517.2,446.61,478.75,449.92,529.15,690.59,560.26,821.67,468.69,594.43,386.41,766.67,575.54,519.65,505.68,523.59
32,517.04,445.8,478.5,448.92,529.06,689.27,560.3,820.05,468.56,593.87,386.04,766.16,575.25,519.24,505.56,522.52
33,516.97,444.97,478.36,447.84,528.89,688.0,560.92,818.67,468.35,593.29,385.66,765.89,575.44,518.79,505.73,521.34
34,517.03,444.66,478.13,446.9,528.73,687.1,562.35,817.46,467.8,592.6,385.96,765.51,575.23,517.15,505.64,520.27
35,517.16,444.66,477.73,445.65,528.61,686.66,563.62,817.17,466.52,591.2,385.95,765.46,575.08,514.9,505.53,519.52
36,517.06,444.25,477.63,445.0,528.38,686.45,564.57,817.18,466.74,590.57,385.95,765.02,575.02,513.47,505.34,518.75
37,517.1,443.89,477.33,443.9,528.03,686.02,566.16,816.88,466.67,589.55,385.56,764.92,575.09,512.53,504.97,517.7
38,517.11,443.27,477.27,442.79,527.5,686.08,567.43,816.73,466.78,589.22,384.91,764.95,573.97,511.62,504.25,516.79
39,517.09,442.78,477.16,442.38,527.48,686.12,568.48,816.62,467.31,589.03,384.79,764.91,573.88,510.1,504.0,515.16
40,517.18,442.53,476.56,441.76,527.54,685.44,569.51,816.37,467.41,588.82,384.31,764.87,572.61,509.0,502.46,513.57
41,517.15,442.3,476.27,441.12,527.21,685.32,570.33,816.37,467.28,588.23,382.94,764.89,571.33,508.47,501.34,512.4
42,516.62,442.12,476.28,440.83,527.05,685.4,570.51,815.96,467.48,588.31,382.02,764.89,570.15,507.74,499.95,512.16
43,516.27,441.79,475.74,440.76,526.72,685.48,570.65,815.76,467.46,588.22,380.29,764.9,569.9,506.41,499.33,512.26
44,514.58,441.61,475.66,440.73,526.45,685.51,571.16,815.78,467.54,588.27,378.76,765.21,567.94,505.61,498.22,512.17
45,513.81,441.34,475.1,440.72,526.17,686.21,572.13,815.91,467.57,588.33,376.76,765.9,567.35,504.94,497.34,512.31
46,512.7,441.07,474.44,440.79,526.02,686.79,572.79,815.94,467.6,588.5,375.02,766.72,567.29,504.42,496.45,512.45
47,511.9,441.04,473.8,440.85,525.88,687.04,572.93,815.96,467.53,588.6,373.05,767.77,566.03,503.95,494.8,513.03
48,511.95,441.06,472.55,440.85,525.35,687.05,572.82,815.95,465.61,588.55,372.45,768.24,563.07,503.62,492.84,513.12
49,511.42,441.05,471.46,440.68,524.47,686.92,572.8,815.77,464.57,588.57,371.19,769.37,560.93,502.85,490.48,513.16
